file_name,extracted_name,label
autos _ 10_CSLvl1_1567155975920.wav,autos ,1
autos _ 10_CSLvl1_1567156100155.wav,autos ,1
autos _ 10_CSLvl1_1567156237786.wav,autos ,1
autos _ 10_CSLvl1_1567156368165.wav,autos ,1
autos _ 10_CSLvl1_1567156497149.wav,autos ,1
autos _ 10_CSLvl1_1567156625627.wav,autos ,1
autos _ 10_CSLvl2_1567155027722.wav,autos ,1
autos _ 10_CSLvl2_1567155168076.wav,autos ,1
autos _ 10_CSLvl2_1567155303924.wav,autos ,1
autos _ 10_CSLvl2_1567155431648.wav,autos ,1
autos _ 10_CSLvl2_1567155563295.wav,autos ,1
autos _ 10_CSLvl2_1567155692693.wav,autos ,1
autos _ 10_CSLvl3_1567156949783.wav,autos ,1
autos _ 10_CSLvl3_1567157080101.wav,autos ,1
autos _ 10_CSLvl3_1567157218867.wav,autos ,1
autos _ 10_CSLvl3_1567157345011.wav,autos ,1
autos _ 10_CSLvl3_1567157465638.wav,autos ,1
autos _ 10_CSLvl3_1567157592358.wav,autos ,1
autos _ 11_CSLvl1_1567163452495.wav,autos ,1
autos _ 11_CSLvl1_1567163570547.wav,autos ,1
autos _ 11_CSLvl1_1567163692988.wav,autos ,1
autos _ 11_CSLvl1_1567163807692.wav,autos ,1
autos _ 11_CSLvl1_1567163928347.wav,autos ,1
autos _ 11_CSLvl1_1567164048333.wav,autos ,1
autos _ 11_CSLvl2_1567164302452.wav,autos ,1
autos _ 11_CSLvl2_1567164423316.wav,autos ,1
autos _ 11_CSLvl2_1567164541143.wav,autos ,1
autos _ 11_CSLvl2_1567164653576.wav,autos ,1
autos _ 11_CSLvl2_1567164768473.wav,autos ,1
autos _ 11_CSLvl2_1567164889807.wav,autos ,1
autos _ 11_CSLvl3_1567162593348.wav,autos ,1
autos _ 11_CSLvl3_1567162719658.wav,autos ,1
autos _ 11_CSLvl3_1567162837014.wav,autos ,1
autos _ 11_CSLvl3_1567162952518.wav,autos ,1
autos _ 11_CSLvl3_1567163067732.wav,autos ,1
autos _ 11_CSLvl3_1567163178478.wav,autos ,1
autos _ 12_CSLvl1_1567411441469.wav,autos ,1
autos _ 12_CSLvl1_1567411561600.wav,autos ,1
autos _ 12_CSLvl1_1567411685867.wav,autos ,1
autos _ 12_CSLvl1_1567411807881.wav,autos ,1
autos _ 12_CSLvl1_1567411927582.wav,autos ,1
